,10,20,30,40,50,60,70,80,90,100
10,0.215,0.607343,0.71219545,0.7641075,0.7172744,0.8341609,0.8094334,0.78396015,0.75829065,0.7325819
20,0.607343,0.215,0.5556115,0.6859686,0.6544901,0.8080204,0.7870138,0.764343,0.74086365,0.71734976
30,0.71219545,0.5556115,0.29357065,0.5549835,0.5498496,0.764029,0.7496478,0.73164775,0.71181865,0.6907571
40,0.7641075,0.6859686,0.5549835,0.372,0.402929,0.703584,0.6973354,0.68598744,0.67115565,0.6541604
50,0.7172744,0.6544901,0.5498496,0.402929,0.215,0.625869,0.630893,0.62702295,0.61887465,0.60746075
60,0.8341609,0.8080204,0.764029,0.703584,0.625869,0.5291884,0.549724,0.55515934,0.5551671115,0.5495984
70,0.8094334,0.7870138,0.7496478,0.6973354,0.630893,0.549724,0.4507198,0.47008575,0.4800945,0.4816331
80,0.78396015,0.764343,0.73164775,0.68598744,0.62702295,0.55515934,0.47008575,0.372,0.3929595,0.4032116
90,0.75829065,0.74086365,0.71181865,0.67115565,0.61887465,0.5551671115,0.4800945,0.3929595,0.29357065,0.3143339
100,0.7325819,0.71734976,0.6907571,0.6541604,0.60746075,0.5495984,0.4816331,0.4032116,0.3143339,0.215
