,10,20,30,40,50,60,70,80,90,100
10,0.215,0.4504215,0.425066,0.470125,0.5761,0.5030479,0.4283159,0.3523907,0.6377539,0.59965
20,0.4504215,0.215,0.407482,0.529,0.4819628,0.42436264,0.6805207,0.64675,0.6116134,0.5761
30,0.425066,0.407482,0.29357065,0.3328913,0.5498496,0.6468913,0.6265755,0.5976875,0.5680459,0.53685
40,0.470125,0.529,0.3328913,0.372,0.402929,0.5553446,0.5485465,0.529,0.67115565,0.6541604
50,0.5761,0.4819628,0.5498496,0.402929,0.215,0.625869,0.630893,0.62702295,0.61887465,0.60746075
60,0.5030479,0.42436264,0.6468913,0.5553446,0.625869,0.5291884,0.549724,0.55515934,0.5551671115,0.5495984
70,0.4283159,0.6805207,0.6265755,0.5485465,0.630893,0.549724,0.4507198,0.47008575,0.4800945,0.4816331
80,0.3523907,0.64675,0.5976875,0.529,0.62702295,0.55515934,0.47008575,0.372,0.3929595,0.4032116
90,0.6377539,0.6116134,0.5680459,0.67115565,0.61887465,0.5551671115,0.4800945,0.3929595,0.29357065,0.3143339
100,0.59965,0.5761,0.53685,0.6541604,0.60746075,0.5495984,0.4816331,0.4032116,0.3143339,0.215
