,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.1,0.41,0.42,0.42,0.41,0.4,0.37,0.35,0.35,0.35111459,0.365062332,0.33,0.3184076,0.308935386,0.282337187,0.280618314,0.286704111,0.265909028,0.275429374,0.275930104,0.243834726,0.259873654,0.28,0.260876485,0.257069102,0.24379823,0.232673995,0.257736501,0.299476722,0.29,0.27,0.257883033,0.259859567,0.241223599,0.219520753,0.218453155,0.2741202,0.302083101,0.315374507,0.317047297,0.328205447,0.323588635,0.314602869,0.297257204,0.29,0.28,0.26,0.25,0.240446412,0.255609513,0.221400211,0.235677669,0.25984239,0.294986179,0.347936359,0.371169862,0.372195734,0.381050286,0.39356214,0.417849292,0.414054941,0.420237294,0.422219578,0.419190505,0.422653507,0.423133172,0.418839755,0.414389657,0.416419833,0.410637945,0.411412888,0.400747613,0.396583971,0.393425209,0.39031115,0.38299687,0.377799048,0.372826204,0.365935886,0.359385418,0.354623276,0.348022398,0.341960499,0.335144923,0.328770381,0.321969747,0.313959788,0.306932939,0.3,0.29,0.284878859,0.277989908,0.27,0.26,0.25,0.247873141,0.239522102,0.23,0.224808498,0.61
2,0.41,0.1,0.38,0.41,0.43,0.42,0.42,0.358792342,0.39196986,0.346623195,0.346030275,0.327986383,0.299712952,0.322917034,0.293092472,0.294567888,0.269864527,0.314693769,0.261233848,0.26993014,0.266004047,0.238806705,0.290320122,0.267519525,0.251825487,0.235122367,0.222888654,0.275694048,0.301176457,0.294262678,0.282062742,0.256210056,0.261042441,0.239428803,0.219735583,0.224843732,0.259131972,0.298393307,0.314099894,0.316025636,0.314847276,0.318296166,0.313564975,0.307424157,0.29,0.28,0.275903223,0.248791401,0.241530892,0.238841525,0.218138018,0.212008925,0.24918209,0.315784041,0.326917123,0.356988406,0.374763861,0.392865975,0.39815775,0.405230897,0.408450813,0.41910093,0.41654525,0.419965333,0.415487993,0.417532812,0.416793697,0.416719567,0.411739713,0.409485983,0.405292124,0.399655649,0.397919594,0.390805857,0.386323378,0.38124865,0.375854503,0.37016419,0.364680885,0.359135553,0.352530307,0.346048747,0.339656073,0.33302093,0.326555359,0.319479798,0.312325698,0.305855454,0.298882471,0.29,0.28410844,0.276920261,0.268989156,0.26,0.25,0.24676602,0.239078055,0.231013144,0.224009481,0.61
3,0.42,0.38,0.11,0.33,0.39,0.427927008,0.421845517,0.376676366,0.363594603,0.325027563,0.328627597,0.316549609,0.293444784,0.276834227,0.286199588,0.260455099,0.247491857,0.254368778,0.275073541,0.263069135,0.246564053,0.252081397,0.28146084,0.265925996,0.24799115,0.231198329,0.217234134,0.253880547,0.286749965,0.288934432,0.271802746,0.256574845,0.247105388,0.237918317,0.216319757,0.214546229,0.25513771,0.293977174,0.306475144,0.315581149,0.318499567,0.317092376,0.304924293,0.3,0.287289739,0.28709133,0.275999746,0.262841585,0.239538462,0.252083588,0.217712787,0.22492465,0.23289592,0.312562517,0.332813529,0.352185807,0.371986427,0.376516495,0.38816884,0.401177691,0.407651422,0.408283465,0.417372374,0.417693864,0.415552588,0.419270464,0.415218431,0.412854413,0.412271632,0.408957449,0.404786103,0.400043522,0.394256416,0.391269565,0.385903984,0.382051311,0.376215491,0.370633667,0.364906325,0.358834636,0.35230268,0.346049992,0.33971353,0.332753289,0.326287865,0.319288911,0.312315617,0.305565302,0.298280168,0.29,0.28,0.27637976,0.268974348,0.26,0.254231103,0.246738944,0.23866162,0.231397033,0.223093732,0.61
4,0.42,0.41,0.33,0.11,0.31,0.38,0.406546665,0.395522729,0.361200949,0.331084323,0.32208233,0.321425466,0.300984607,0.31014154,0.284905345,0.284928909,0.280220625,0.257983374,0.282947971,0.26645109,0.265130938,0.261349363,0.269657867,0.263752976,0.244557696,0.22735884,0.216382786,0.258922283,0.2918618,0.285374611,0.278392605,0.259351583,0.254007084,0.23606171,0.213832474,0.216013785,0.257455869,0.29845337,0.301462295,0.310186681,0.31123539,0.322021845,0.31019449,0.29656168,0.285783863,0.296667287,0.274012579,0.262519254,0.238084311,0.240029881,0.216029351,0.240067098,0.251243618,0.314125728,0.330855505,0.35145811,0.367456079,0.390048531,0.396330692,0.40133713,0.410083059,0.413949736,0.411829823,0.415830568,0.414548506,0.419124046,0.413091497,0.412290112,0.411486259,0.409842991,0.405343938,0.402353291,0.397254191,0.389895165,0.387582009,0.382439068,0.376637118,0.370241282,0.364511536,0.358577305,0.351908335,0.34574897,0.340347434,0.332273492,0.326247599,0.319231879,0.31,0.305408924,0.298160425,0.29,0.28,0.276164355,0.268886865,0.261674329,0.253933575,0.246179554,0.238378475,0.230371908,0.222816122,0.61
5,0.41,0.43,0.39,0.31,0.12,0.29,0.37,0.363245167,0.358111507,0.342008222,0.336216378,0.304728014,0.284129286,0.284052796,0.286935025,0.2815279,0.27697927,0.267522784,0.2779197,0.252884897,0.261627945,0.268311705,0.266115681,0.266441195,0.258389826,0.234400603,0.218113948,0.269272283,0.279389331,0.284634374,0.26971171,0.25023322,0.249464919,0.230624005,0.212706368,0.214480593,0.264541645,0.2907685,0.309624616,0.309489172,0.315783037,0.319605608,0.303878115,0.30406636,0.295636326,0.28327022,0.260731844,0.261476017,0.237021174,0.251167772,0.245673064,0.204595317,0.229022301,0.312298039,0.335129544,0.364703868,0.3588702,0.38573392,0.397418269,0.400329671,0.41030937,0.414393354,0.413525819,0.417591245,0.418985987,0.413359214,0.412549069,0.411840438,0.412828407,0.40572867,0.405434361,0.400510551,0.39524468,0.390175371,0.386632683,0.380755317,0.374182408,0.369428265,0.363776663,0.358072018,0.352931381,0.345183671,0.33854968,0.332212356,0.325706701,0.319372996,0.31,0.3,0.29809201,0.29,0.28381538,0.275836678,0.268201769,0.262195626,0.253484866,0.245579943,0.237804867,0.230593283,0.223275745,0.61
6,0.4,0.42,0.44,0.38,0.29,0.11,0.28,0.33,0.356925121,0.343679233,0.322304204,0.327732448,0.292677573,0.30639221,0.288430327,0.287721765,0.268198773,0.280772252,0.280157965,0.255131009,0.266920263,0.251365439,0.281053585,0.251309498,0.236375556,0.231481914,0.236405181,0.249735599,0.285297673,0.277554774,0.268668307,0.253984192,0.243915515,0.229886231,0.219456716,0.216346255,0.264549446,0.293998389,0.292423491,0.315446941,0.315124149,0.311226041,0.311159423,0.300764702,0.291812949,0.282859244,0.258765729,0.25838579,0.23475408,0.241751686,0.226844507,0.221875819,0.250659415,0.300770773,0.321860797,0.36170202,0.373238492,0.392622725,0.400106528,0.401847481,0.407513544,0.411839619,0.41831541,0.415796644,0.416443614,0.412928153,0.411199142,0.412369667,0.410536545,0.408519346,0.401942756,0.39954515,0.395687668,0.389776265,0.384972259,0.381024931,0.375093396,0.368718383,0.363657208,0.359148571,0.351423167,0.34473076,0.33856738,0.33,0.324714379,0.317988579,0.31,0.3,0.297388545,0.290180489,0.282851415,0.275490813,0.268043382,0.260436611,0.253113708,0.245672139,0.237694423,0.230089355,0.221922075,0.6
7,0.37,0.42,0.439684319,0.41,0.37,0.28,0.12,0.26,0.344086213,0.342628369,0.333397028,0.302892695,0.276940002,0.286305199,0.2948625,0.284814046,0.269764986,0.274407572,0.282241095,0.258455047,0.2550106,0.268408767,0.259088487,0.267195082,0.241244358,0.241833629,0.233740088,0.251286473,0.274414357,0.277903335,0.264480333,0.254605043,0.243318229,0.229932581,0.215581586,0.208073378,0.261745671,0.296203506,0.30762295,0.305585398,0.313057793,0.314659487,0.305983258,0.296620408,0.279365796,0.268885547,0.25681485,0.255775758,0.232201742,0.233130837,0.211645383,0.200874604,0.247188976,0.297194523,0.322054883,0.361900365,0.377967138,0.389850739,0.392323522,0.402098926,0.407187381,0.416236296,0.416309793,0.416142061,0.417144715,0.414171999,0.413136319,0.412135633,0.405624902,0.406576117,0.402379035,0.397931821,0.394851146,0.389095211,0.385679989,0.37814653,0.373479682,0.368303431,0.362964434,0.357475293,0.35,0.344111589,0.337753332,0.33,0.32,0.317654892,0.310959517,0.303452607,0.296213381,0.289653549,0.283032324,0.274641515,0.268078904,0.259864998,0.253685862,0.244808404,0.237175548,0.229493044,0.221363472,0.6
8,0.35,0.428723883,0.44,0.425222377,0.38,0.33,0.26,0.12,0.26,0.328449185,0.318205843,0.327722727,0.321948429,0.305267955,0.287029254,0.2757405,0.27895569,0.257920333,0.264979914,0.256225981,0.263559106,0.275581238,0.267849791,0.257905538,0.245193857,0.240037149,0.235024492,0.242222346,0.268122642,0.268557959,0.257711118,0.251585573,0.241651954,0.225213221,0.217062908,0.22821895,0.24583907,0.285581242,0.299748276,0.29815522,0.312897875,0.310018673,0.309021799,0.294804233,0.280629764,0.269976299,0.253984239,0.252573547,0.249850037,0.229827303,0.208841333,0.215713107,0.213593089,0.294721585,0.330959219,0.34319447,0.358326193,0.3830923,0.392372936,0.394811336,0.407771778,0.409201932,0.413110107,0.414245522,0.416200421,0.413290316,0.414228274,0.410768364,0.406561137,0.403536636,0.404909457,0.39844777,0.391697513,0.389804116,0.380764911,0.379298826,0.373967396,0.36788379,0.361501184,0.356492366,0.35,0.343627711,0.336584881,0.33,0.323106354,0.316666835,0.310226368,0.302609524,0.296064424,0.288621317,0.281218662,0.273962431,0.267877962,0.258983037,0.252542784,0.24425763,0.236774334,0.2291241,0.220458275,0.6
9,0.35,0.42,0.383842366,0.398373634,0.384726364,0.37956036,0.361134675,0.26,0.14,0.25,0.320118726,0.31637271,0.303979968,0.282593868,0.297978024,0.276383782,0.283010084,0.287168711,0.265477348,0.267312262,0.257283312,0.264233882,0.25800568,0.253767516,0.249637012,0.24326249,0.248362133,0.254493412,0.263749947,0.269765398,0.252721822,0.243984657,0.238910006,0.223728363,0.227237978,0.230233376,0.262992981,0.291599474,0.299118302,0.299030729,0.304319646,0.303688966,0.298851403,0.301653518,0.286823026,0.274238679,0.252284565,0.239496686,0.230587621,0.219189091,0.226499045,0.21405067,0.219880607,0.294415441,0.326578755,0.348579116,0.368527647,0.382254933,0.396169962,0.400025648,0.403465629,0.410371078,0.413193537,0.413064875,0.415261812,0.411664167,0.414134863,0.40647914,0.40161059,0.402000304,0.400317283,0.395855917,0.389423168,0.386699157,0.384252324,0.378696484,0.372834981,0.366623377,0.36,0.355986711,0.347896103,0.34301775,0.335764157,0.329183404,0.323120013,0.31614858,0.309225595,0.302069593,0.295868377,0.287997393,0.280878958,0.273793833,0.265850247,0.258592707,0.250931741,0.244289272,0.236062359,0.227794199,0.220131699,0.6
10,0.36,0.40939694,0.413761476,0.391789985,0.380148932,0.349794795,0.358652795,0.34,0.25,0.14,0.24,0.314673915,0.287351879,0.30066897,0.273791096,0.298193339,0.258531148,0.274785908,0.276819206,0.264887886,0.265812121,0.260914196,0.258932346,0.259036974,0.259735752,0.261215464,0.222791292,0.26431273,0.260521186,0.266049368,0.251450713,0.248977048,0.240269535,0.223925672,0.221782612,0.234410029,0.257496332,0.27944987,0.299503969,0.303312773,0.299566373,0.297242727,0.293312408,0.290874464,0.273796636,0.272877821,0.262983711,0.254585414,0.248513416,0.227898828,0.220115749,0.230997751,0.26739836,0.304437946,0.330579524,0.345186479,0.36972819,0.378358022,0.385075456,0.396509288,0.399693733,0.40320796,0.402745875,0.41275999,0.410369094,0.410246602,0.412361795,0.409598214,0.407117907,0.405252377,0.398152658,0.395047363,0.391805309,0.387215475,0.382998514,0.376199745,0.370967825,0.366683574,0.359321038,0.35,0.346747299,0.341301385,0.335229489,0.329005503,0.322411565,0.314987524,0.307994858,0.301705679,0.295016215,0.287803809,0.279953953,0.272744864,0.265119995,0.257796362,0.250671764,0.242970644,0.234960516,0.227342303,0.219672696,0.6
